Wavelength (nm),Air_n,Air_k,Spiro_n,Spiro_k,TiO2_n,TiO2_k,SodaLime_n,SodaLime_k,Perov_n,Perov_k,PerovPtPt_n,PerovPtPt_k,Au_n,Au_k,SnO2_n,SnO2_k,SiO2_n,SiO2_k,FTO_n,FTO_k,FTema_n,FTema_k,FAema_n,FAema_k,TPema_n,TPema_k,SpiroTFSI4Ox_n,SpiroTFSI4Ox_k,SpOxema_n,SpOxema_k
368,1,0,1.6924,0.42004,2.48699,0.00163,1.53103,6.55E-07,1.97056,1.1283,1.94836,1.16237,1.47985,1.89528,1.9709,0.0323,1.49663,0,2.0346,0.00793,2.12213,0.05996,1.65751,0.00503,2.32206,0.41598,1.70217,0.39508,1.69E+00,4.18E-01
369,1,0,1.7004,0.42295,2.47955,9.93E-04,1.53082,6.37E-07,1.98005,1.12386,1.96067,1.15882,1.47838,1.89807,1.9697,0.03187,1.49651,0,2.0334,0.00785,2.12043,0.0586,1.65676,0.00497,2.32078,0.41333,1.70977,0.39732,1.70E+00,4.20E-01
370,1,0,1.70818,0.42612,2.47317,7.87E-04,1.53059,6.21E-07,1.9893,1.11922,1.97153,1.15754,1.47691,1.90087,1.96849,0.03146,1.49638,0,2.03218,0.00777,2.11873,0.05723,1.65601,0.00492,2.32004,0.41092,1.71747,0.3995,1.71E+00,4.23E-01
371,1,0,1.71588,0.42853,2.46647,8.46E-04,1.53043,6.06E-07,1.99829,1.1144,1.9832,1.15406,1.47544,1.90366,1.96736,0.03107,1.49617,0,2.03096,0.00769,2.11699,0.05586,1.6552,0.00487,2.31899,0.40861,1.72517,0.40131,1.72E+00,4.26E-01
372,1,0,1.72372,0.43106,2.45947,8.34E-04,1.53024,5.93E-07,2.00703,1.10943,1.99326,1.1504,1.47397,1.90646,1.9662,0.03069,1.49604,0,2.0298,0.00762,2.11522,0.05449,1.65447,0.00483,2.31764,0.40621,1.73278,0.40296,1.72E+00,4.28E-01
373,1,0,1.73158,0.43328,2.45265,8.97E-04,1.53005,5.80E-07,2.01558,1.1043,2.00391,1.14647,1.4725,1.90925,1.96503,0.03033,1.49592,0,2.02863,0.00754,2.11352,0.05313,1.65374,0.00478,2.31631,0.40381,1.7405,0.40423,1.73E+00,4.30E-01
374,1,0,1.73947,0.4356,2.44612,0.00111,1.5299,5.69E-07,2.02382,1.09895,2.0143,1.1453,1.47103,1.91204,1.96391,0.02999,1.4958,0,2.02741,0.00747,2.11182,0.05176,1.65301,0.00473,2.31503,0.40145,1.7482,0.40557,1.74E+00,4.33E-01
375,1,0,1.74708,0.4375,2.43914,0.00119,1.52968,5.58E-07,2.03175,1.09362,2.02384,1.14205,1.46956,1.91484,1.96282,0.02966,1.49568,0,2.02632,0.0074,2.11015,0.05041,1.65228,0.00469,2.31335,0.39901,1.75592,0.40669,1.75E+00,4.34E-01
376,1,0,1.75526,0.43925,2.43233,0.00122,1.52956,5.48E-07,2.03947,1.08809,2.0333,1.13662,1.46809,1.91763,1.96173,0.02935,1.49556,0,2.02519,0.00734,2.10852,0.04904,1.65155,0.00465,2.31169,0.39649,1.76371,0.40777,1.76E+00,4.36E-01
377,1,0,1.76343,0.441,2.42569,0.00131,1.52944,5.38E-07,2.04697,1.08248,2.04287,1.13142,1.46662,1.92043,1.96069,0.02905,1.49544,0,2.02403,0.00727,2.10681,0.04768,1.65082,0.00461,2.31004,0.39399,1.77181,0.40867,1.76E+00,4.38E-01
